epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12033.9,0.92166,0.67626,0.94268,0.95477,0.96045,0.98088,0.84289,0.5846,1.11201,0.80301,0.0079705,0.0079705,0.0079705
43,12324.5,0.9188,0.67386,0.94152,0.95553,0.96057,0.98112,0.84287,0.58435,1.10869,0.80301,0.007921,0.007921,0.007921
44,12604.7,0.92054,0.67507,0.94322,0.95493,0.96073,0.98115,0.84306,0.58375,1.1081,0.80278,0.0078715,0.0078715,0.0078715
45,12891.9,0.92135,0.67767,0.94193,0.95591,0.96033,0.98121,0.84318,0.58421,1.1149,0.80275,0.007822,0.007822,0.007822
46,13175.1,0.91184,0.6699,0.93941,0.95582,0.96049,0.9812,0.84362,0.58383,1.11095,0.80259,0.0077725,0.0077725,0.0077725
47,13464.1,0.91407,0.66796,0.9397,0.95417,0.96159,0.98113,0.84321,0.58506,1.11602,0.8028,0.007723,0.007723,0.007723
48,13752.6,0.91097,0.66788,0.93892,0.95566,0.96081,0.98104,0.84301,0.5848,1.11406,0.80265,0.0076735,0.0076735,0.0076735
49,14036.1,0.90784,0.66636,0.93887,0.95464,0.96052,0.98105,0.84297,0.58552,1.11547,0.80257,0.007624,0.007624,0.007624
50,14311,0.90827,0.66929,0.939,0.95557,0.95984,0.98107,0.84282,0.58539,1.11941,0.80243,0.0075745,0.0075745,0.0075745
51,14596.3,0.90346,0.66007,0.93709,0.95472,0.96044,0.98088,0.84347,0.58386,1.12372,0.8022,0.007525,0.007525,0.007525
52,14889.1,0.90398,0.6632,0.9385,0.95496,0.96008,0.98091,0.84338,0.58475,1.12497,0.80221,0.0074755,0.0074755,0.0074755
53,15173.5,0.90544,0.66587,0.93842,0.95534,0.96029,0.98084,0.84327,0.58448,1.13098,0.80196,0.007426,0.007426,0.007426
54,15454.4,0.90178,0.66499,0.9383,0.95893,0.95785,0.98093,0.84348,0.58236,1.1303,0.80162,0.0073765,0.0073765,0.0073765
55,15738.4,0.89446,0.65604,0.93563,0.95544,0.96052,0.9811,0.84436,0.58216,1.1294,0.80153,0.007327,0.007327,0.007327
56,16026.1,0.89747,0.65935,0.93622,0.95997,0.95776,0.98111,0.84457,0.58116,1.13321,0.80134,0.0072775,0.0072775,0.0072775
57,16309.2,0.89468,0.65395,0.93496,0.95968,0.95843,0.98108,0.84551,0.57883,1.12873,0.80095,0.007228,0.007228,0.007228
58,16599.1,0.89985,0.66081,0.93813,0.95977,0.95802,0.98118,0.84558,0.57939,1.13355,0.801,0.0071785,0.0071785,0.0071785
59,16886.9,0.89075,0.65193,0.93343,0.95607,0.96133,0.98134,0.84592,0.57883,1.12786,0.80086,0.007129,0.007129,0.007129
60,17165.7,0.89059,0.656,0.9356,0.95665,0.96202,0.98139,0.84658,0.57644,1.12434,0.8003,0.0070795,0.0070795,0.0070795
61,17455.5,0.88576,0.64915,0.93294,0.9579,0.96194,0.98138,0.8472,0.57562,1.12134,0.8001,0.00703,0.00703,0.00703
62,17751,0.89037,0.6524,0.93451,0.95987,0.96121,0.98148,0.84768,0.5734,1.11746,0.79973,0.0069805,0.0069805,0.0069805
63,18034.7,0.8836,0.65109,0.93245,0.96154,0.96075,0.98158,0.84796,0.57369,1.11762,0.79971,0.006931,0.006931,0.006931
64,18320.7,0.88499,0.65024,0.93207,0.96144,0.96072,0.98161,0.84791,0.57411,1.11125,0.79969,0.0068815,0.0068815,0.0068815
65,18600.9,0.88159,0.64594,0.93158,0.96212,0.96081,0.98175,0.84904,0.5723,1.09337,0.7994,0.006832,0.006832,0.006832
66,18886.6,0.88026,0.64522,0.9315,0.96281,0.9604,0.98178,0.8496,0.57154,1.07801,0.79938,0.0067825,0.0067825,0.0067825
67,19179.2,0.87438,0.64204,0.92986,0.96403,0.96073,0.98197,0.84947,0.57105,1.05742,0.79918,0.006733,0.006733,0.006733
68,19468.2,0.87301,0.64053,0.92999,0.96401,0.9607,0.98213,0.85012,0.57014,1.04828,0.79897,0.0066835,0.0066835,0.0066835
69,19747.4,0.87246,0.63832,0.92958,0.96348,0.96188,0.98275,0.85015,0.5694,1.04882,0.79876,0.006634,0.006634,0.006634
70,20031.8,0.87197,0.64017,0.93012,0.96308,0.96204,0.9829,0.85092,0.5677,1.05116,0.79846,0.0065845,0.0065845,0.0065845
71,20321.1,0.86843,0.63799,0.9291,0.96307,0.96272,0.98307,0.85108,0.56678,1.05433,0.79822,0.006535,0.006535,0.006535
72,20605.1,0.87283,0.63999,0.92956,0.96125,0.96377,0.98316,0.85278,0.56385,1.05675,0.79769,0.0064855,0.0064855,0.0064855
73,20889.8,0.8688,0.63657,0.9284,0.96179,0.96317,0.98344,0.85371,0.56196,1.05891,0.79735,0.006436,0.006436,0.006436
74,21173.1,0.8675,0.63617,0.92868,0.96089,0.96442,0.98346,0.85333,0.56183,1.06189,0.7973,0.0063865,0.0063865,0.0063865
75,21457.8,0.85976,0.6311,0.92481,0.96057,0.9653,0.98356,0.85323,0.56178,1.05387,0.79725,0.006337,0.006337,0.006337
76,21746,0.85954,0.6312,0.92643,0.96031,0.96607,0.98371,0.85392,0.56006,1.04334,0.79699,0.0062875,0.0062875,0.0062875
77,22038.1,0.85818,0.62905,0.92493,0.96047,0.9657,0.98317,0.85344,0.5606,1.04146,0.79696,0.006238,0.006238,0.006238
78,22316.1,0.85829,0.63005,0.92521,0.96037,0.96564,0.98333,0.85402,0.56028,1.04134,0.79682,0.0061885,0.0061885,0.0061885
79,22594.9,0.85669,0.62904,0.92618,0.96159,0.96512,0.98351,0.8546,0.55916,1.03736,0.79662,0.006139,0.006139,0.006139
80,22881.1,0.85849,0.62796,0.92546,0.96113,0.96549,0.98366,0.8545,0.56174,1.03251,0.79689,0.0060895,0.0060895,0.0060895
81,23172.6,0.85148,0.62686,0.92479,0.96016,0.96639,0.98376,0.85421,0.5628,1.03117,0.79695,0.00604,0.00604,0.00604
82,23456.8,0.84863,0.62205,0.92346,0.96045,0.96653,0.9837,0.85452,0.56236,1.03202,0.79673,0.0059905,0.0059905,0.0059905
83,23741.5,0.84673,0.62252,0.92263,0.95951,0.96702,0.98389,0.85516,0.56127,1.03453,0.79647,0.005941,0.005941,0.005941
84,24018.6,0.8459,0.62133,0.92233,0.95973,0.96699,0.98406,0.85495,0.56076,1.04549,0.79636,0.0058915,0.0058915,0.0058915
85,24303,0.84417,0.62088,0.92273,0.95961,0.96686,0.98415,0.85571,0.55901,1.05332,0.79605,0.005842,0.005842,0.005842
86,24593.2,0.84167,0.61777,0.92176,0.95949,0.96698,0.98435,0.85546,0.55937,1.05001,0.79604,0.0057925,0.0057925,0.0057925
87,24876.7,0.83881,0.61769,0.9208,0.95969,0.96736,0.9845,0.85625,0.55829,1.04734,0.79583,0.005743,0.005743,0.005743
88,25158.1,0.84017,0.61651,0.9213,0.95973,0.96736,0.98459,0.85657,0.55799,1.03771,0.79575,0.0056935,0.0056935,0.0056935
89,25441,0.84107,0.6185,0.92184,0.95972,0.96722,0.98464,0.85658,0.55809,1.03032,0.79569,0.005644,0.005644,0.005644
90,25731.8,0.83865,0.6166,0.92098,0.95988,0.96743,0.98467,0.85695,0.55836,1.02861,0.79562,0.0055945,0.0055945,0.0055945
91,26017.2,0.83406,0.61265,0.92067,0.96016,0.9675,0.98474,0.8562,0.5579,1.02757,0.79547,0.005545,0.005545,0.005545
92,26303,0.83159,0.60978,0.91867,0.95992,0.967,0.98478,0.8559,0.55797,1.02903,0.79531,0.0054955,0.0054955,0.0054955
93,26582.2,0.82927,0.60689,0.91778,0.96183,0.96704,0.98481,0.85636,0.55761,1.02379,0.79515,0.005446,0.005446,0.005446
94,26866.3,0.82703,0.60695,0.91808,0.96162,0.96743,0.98494,0.85667,0.55717,1.02055,0.79509,0.0053965,0.0053965,0.0053965
95,27157.3,0.82169,0.60271,0.91663,0.96109,0.96767,0.98493,0.85722,0.55645,1.01264,0.79493,0.005347,0.005347,0.005347
96,27448.6,0.82349,0.60391,0.91687,0.96225,0.96779,0.98503,0.85736,0.55608,1.01008,0.79487,0.0052975,0.0052975,0.0052975
97,27731.1,0.82593,0.60657,0.91795,0.96252,0.96843,0.98511,0.85816,0.55387,1.00813,0.79453,0.005248,0.005248,0.005248
98,28012.7,0.82108,0.60211,0.91674,0.96226,0.96925,0.98523,0.85864,0.55257,1.00301,0.79425,0.0051985,0.0051985,0.0051985
99,28299.2,0.82014,0.60361,0.91609,0.96241,0.96951,0.98528,0.85966,0.54959,0.99611,0.79371,0.005149,0.005149,0.005149
100,28583.3,0.81751,0.60096,0.91608,0.96329,0.9691,0.98529,0.85986,0.54822,0.98925,0.79347,0.0050995,0.0050995,0.0050995
101,28874.7,0.80851,0.59309,0.91293,0.96298,0.96945,0.98539,0.86133,0.54509,0.98571,0.79296,0.00505,0.00505,0.00505
102,29196.7,0.81498,0.59683,0.91506,0.96312,0.96932,0.98545,0.86225,0.54382,0.99151,0.79267,0.0050005,0.0050005,0.0050005
103,29598.4,0.80822,0.59489,0.91335,0.96332,0.96934,0.98544,0.86212,0.54367,0.98975,0.79262,0.004951,0.004951,0.004951
104,30002.3,0.81102,0.59625,0.91415,0.96266,0.96942,0.9855,0.86266,0.54231,0.98808,0.7923,0.0049015,0.0049015,0.0049015
105,30409.6,0.80905,0.59375,0.91276,0.96233,0.96942,0.9855,0.86306,0.54154,0.99095,0.79211,0.004852,0.004852,0.004852
106,30786.3,0.80549,0.59501,0.91351,0.96242,0.96892,0.9855,0.86289,0.54105,0.99246,0.79186,0.0048025,0.0048025,0.0048025
107,31148.1,0.80257,0.58751,0.91192,0.9622,0.96927,0.98556,0.86276,0.54205,0.99369,0.79204,0.004753,0.004753,0.004753
108,31512.2,0.80123,0.58878,0.91011,0.96335,0.96929,0.98559,0.8626,0.54228,0.99852,0.79199,0.0047035,0.0047035,0.0047035
109,31872.9,0.7964,0.58276,0.90938,0.96403,0.96847,0.9857,0.86348,0.54068,1.00115,0.79169,0.004654,0.004654,0.004654
110,32217.2,0.79762,0.58748,0.91099,0.96349,0.96896,0.9858,0.8635,0.54034,1.00069,0.79159,0.0046045,0.0046045,0.0046045
111,32554.9,0.79817,0.58671,0.9108,0.96301,0.96925,0.98593,0.86298,0.5417,0.99733,0.79174,0.004555,0.004555,0.004555
112,32897.4,0.79558,0.58364,0.90907,0.96518,0.96686,0.98599,0.86292,0.54136,0.99221,0.79158,0.0045055,0.0045055,0.0045055
113,33247.7,0.79201,0.58187,0.90867,0.96501,0.96653,0.98609,0.86235,0.54307,0.99194,0.79179,0.004456,0.004456,0.004456
114,33570.1,0.79252,0.58258,0.90969,0.96496,0.96605,0.98609,0.86198,0.54326,0.99616,0.79177,0.0044065,0.0044065,0.0044065
115,33911.1,0.7882,0.57771,0.90722,0.96565,0.96604,0.98615,0.86154,0.54426,0.99129,0.79162,0.004357,0.004357,0.004357
116,34247.9,0.78282,0.57847,0.90727,0.96691,0.96591,0.98616,0.86215,0.54297,0.99216,0.79146,0.0043075,0.0043075,0.0043075
117,34584.2,0.78328,0.57653,0.9072,0.96725,0.96574,0.98612,0.86189,0.54276,0.99653,0.79128,0.004258,0.004258,0.004258
118,34918.6,0.78366,0.57885,0.90747,0.96727,0.96597,0.98606,0.86274,0.54127,0.99227,0.79101,0.0042085,0.0042085,0.0042085
119,35252.7,0.77784,0.5731,0.90548,0.96833,0.96574,0.986,0.86298,0.54093,0.98441,0.7908,0.004159,0.004159,0.004159
120,35578.1,0.7804,0.57498,0.90638,0.96748,0.96574,0.98602,0.86312,0.54033,0.96921,0.79065,0.0041095,0.0041095,0.0041095
121,35916,0.77455,0.56917,0.90546,0.96753,0.96574,0.98599,0.86148,0.54376,0.96276,0.791,0.00406,0.00406,0.00406
122,36242.4,0.77679,0.57198,0.90516,0.96815,0.96573,0.98601,0.86238,0.54258,0.95659,0.79085,0.0040105,0.0040105,0.0040105
123,36575.3,0.77113,0.56724,0.90458,0.96796,0.96595,0.98583,0.8616,0.54464,0.9544,0.79107,0.003961,0.003961,0.003961
124,36913.7,0.76925,0.56751,0.90416,0.96815,0.96612,0.98589,0.86113,0.54563,0.94674,0.79112,0.0039115,0.0039115,0.0039115
125,37251.2,0.76848,0.56547,0.90356,0.96835,0.96631,0.9859,0.86131,0.54493,0.94973,0.79091,0.003862,0.003862,0.003862
126,37586.9,0.7616,0.56112,0.90206,0.96802,0.96653,0.98606,0.86235,0.54368,0.93798,0.79061,0.0038125,0.0038125,0.0038125
127,37921.1,0.76359,0.56041,0.90302,0.96761,0.96635,0.98615,0.86239,0.54397,0.92762,0.79062,0.003763,0.003763,0.003763
128,38252.4,0.76263,0.56171,0.90281,0.96848,0.96609,0.98625,0.86305,0.54282,0.91053,0.79043,0.0037135,0.0037135,0.0037135
129,38586.5,0.75867,0.55979,0.90107,0.9679,0.96725,0.98633,0.864,0.54092,0.8879,0.79011,0.003664,0.003664,0.003664
130,38918.8,0.75503,0.55781,0.90068,0.96785,0.9673,0.98645,0.86532,0.53775,0.87412,0.7896,0.0036145,0.0036145,0.0036145
131,39254.2,0.75166,0.55419,0.89945,0.96746,0.96727,0.98651,0.86589,0.53562,0.85601,0.78934,0.003565,0.003565,0.003565
132,39592.7,0.75154,0.55495,0.89934,0.9686,0.96719,0.98659,0.86641,0.53437,0.84058,0.78907,0.0035155,0.0035155,0.0035155
133,39928.1,0.7495,0.55318,0.89966,0.96829,0.96739,0.98664,0.86599,0.53542,0.82138,0.78906,0.003466,0.003466,0.003466
134,40273.2,0.74189,0.54579,0.89653,0.96749,0.96803,0.98661,0.86666,0.53342,0.80061,0.78874,0.0034165,0.0034165,0.0034165
135,40584.2,0.74427,0.54986,0.89844,0.96688,0.96926,0.98665,0.86693,0.53317,0.78988,0.78868,0.003367,0.003367,0.003367
136,40882.4,0.74562,0.54929,0.89842,0.96695,0.96906,0.98657,0.86724,0.53337,0.77681,0.7886,0.0033175,0.0033175,0.0033175
137,41181.9,0.74136,0.54668,0.89681,0.96719,0.96854,0.98657,0.86746,0.53348,0.76447,0.78855,0.003268,0.003268,0.003268
138,41475.6,0.73888,0.54406,0.89652,0.96806,0.96925,0.98661,0.86898,0.53086,0.76007,0.78807,0.0032185,0.0032185,0.0032185
139,41765.3,0.73778,0.54418,0.89681,0.96783,0.96982,0.98664,0.86876,0.53006,0.75728,0.78788,0.003169,0.003169,0.003169
140,42060.6,0.73337,0.5419,0.89582,0.96772,0.97039,0.98664,0.86897,0.52941,0.7458,0.7877,0.0031195,0.0031195,0.0031195
141,42348.9,0.7315,0.53981,0.89534,0.96783,0.97062,0.98667,0.86871,0.53164,0.74033,0.78791,0.00307,0.00307,0.00307
142,42639.5,0.73053,0.53998,0.8953,0.96778,0.97078,0.98677,0.86919,0.53038,0.72829,0.78765,0.0030205,0.0030205,0.0030205
143,42938.6,0.72651,0.53763,0.89404,0.96762,0.97071,0.98685,0.8695,0.52942,0.71906,0.7874,0.002971,0.002971,0.002971
144,43229.3,0.72464,0.53451,0.89354,0.96783,0.97069,0.98692,0.87002,0.53027,0.71407,0.78748,0.0029215,0.0029215,0.0029215
145,43518.2,0.72033,0.53132,0.8919,0.96834,0.97043,0.98704,0.8702,0.52931,0.70821,0.78726,0.002872,0.002872,0.002872
146,43811.6,0.71637,0.52871,0.891,0.9693,0.97034,0.98713,0.87093,0.52731,0.69841,0.78682,0.0028225,0.0028225,0.0028225
147,44101.5,0.71903,0.53106,0.89255,0.96971,0.97007,0.98715,0.87,0.52985,0.69445,0.78707,0.002773,0.002773,0.002773
148,44384.8,0.71162,0.52495,0.88994,0.96927,0.96985,0.98712,0.87027,0.53006,0.68392,0.78701,0.0027235,0.0027235,0.0027235
149,44675.8,0.71269,0.52853,0.89093,0.96912,0.96971,0.98708,0.86922,0.53233,0.67375,0.78719,0.002674,0.002674,0.002674
150,44966.8,0.71255,0.52864,0.89118,0.96901,0.97034,0.98718,0.86963,0.53102,0.6697,0.78695,0.0026245,0.0026245,0.0026245
151,45249,0.70615,0.52217,0.88914,0.96889,0.9702,0.9873,0.87002,0.52905,0.66197,0.78657,0.002575,0.002575,0.002575
152,45536.2,0.70609,0.52099,0.88912,0.97031,0.96964,0.98741,0.87109,0.52709,0.65555,0.78623,0.0025255,0.0025255,0.0025255
153,45832.8,0.70462,0.52131,0.88906,0.97011,0.96936,0.98744,0.87151,0.52556,0.6569,0.78597,0.002476,0.002476,0.002476
154,46115.1,0.70272,0.51862,0.889,0.97061,0.96937,0.9875,0.87175,0.52358,0.65416,0.78565,0.0024265,0.0024265,0.0024265
155,46395.2,0.69673,0.51483,0.88745,0.97087,0.96901,0.98757,0.87376,0.51956,0.64935,0.78507,0.002377,0.002377,0.002377
156,46677.5,0.69391,0.51336,0.8861,0.97125,0.96856,0.98765,0.87475,0.51811,0.64384,0.78483,0.0023275,0.0023275,0.0023275
157,46960.4,0.69132,0.51074,0.88576,0.97123,0.96777,0.98766,0.87472,0.51863,0.63947,0.78484,0.002278,0.002278,0.002278
