epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,55463.9,0.60327,0.45211,0.86777,0.97437,0.97065,0.98861,0.88054,0.50715,0.64424,0.78016,0.000793,0.000793,0.000793
188,55749.8,0.5994,0.45024,0.86648,0.97559,0.96994,0.98866,0.88165,0.50425,0.64909,0.77971,0.0007435,0.0007435,0.0007435
189,56032.2,0.60032,0.45151,0.86735,0.97471,0.97058,0.98872,0.88207,0.50278,0.64534,0.7794,0.000694,0.000694,0.000694
190,56321.1,0.59427,0.44706,0.86685,0.97556,0.96956,0.98875,0.88242,0.50289,0.64074,0.77931,0.0006445,0.0006445,0.0006445
191,56634.9,0.52293,0.35856,0.84314,0.9756,0.97077,0.98881,0.88457,0.4966,0.64314,0.77852,0.000595,0.000595,0.000595
192,56909.7,0.5072,0.34606,0.84048,0.97506,0.97061,0.98892,0.88617,0.49355,0.64565,0.77806,0.0005455,0.0005455,0.0005455
193,57196.3,0.4974,0.34017,0.83607,0.97457,0.97095,0.989,0.88747,0.49088,0.64467,0.77761,0.000496,0.000496,0.000496
194,57489,0.48841,0.33573,0.83477,0.97568,0.97027,0.98903,0.8876,0.48976,0.64205,0.77738,0.0004465,0.0004465,0.0004465
195,57781.2,0.48584,0.335,0.83426,0.97629,0.96956,0.98908,0.88888,0.48668,0.64431,0.7769,0.000397,0.000397,0.000397
196,58066.4,0.47689,0.33004,0.83169,0.97512,0.96997,0.98914,0.88924,0.48511,0.64913,0.77666,0.0003475,0.0003475,0.0003475
197,58358.2,0.47167,0.32854,0.83179,0.97379,0.97142,0.98917,0.89021,0.48376,0.65304,0.77637,0.000298,0.000298,0.000298
198,58646.2,0.46766,0.32547,0.82953,0.97365,0.9713,0.9892,0.8904,0.48208,0.65584,0.77608,0.0002485,0.0002485,0.0002485
199,58930,0.46264,0.32306,0.82931,0.97104,0.97432,0.98924,0.89067,0.48195,0.66545,0.776,0.000199,0.000199,0.000199
200,59231.9,0.45721,0.32023,0.82738,0.97085,0.97453,0.9893,0.89169,0.47984,0.66869,0.7757,0.0001495,0.0001495,0.0001495
